"","LIDNUM","NAME","LATSTR","LONGSTR","LAT","LONG","ALTITUDE","MAX_AGE","BFA_MAX","BFA_MAX_ABS","FRAC_MAX","MIN_AGE","BFA_MIN","BFA_MIN_ABS","FRAC_MIN","CHRON","AGE_COMM","BASIN","SUBBASIN","COUNTRY","STATE","COUNTY","APNUMSPM","GENERAL","LOC_SYNONYMS","MEAN_HYPSODONTY","ESTIMATE_PRECIP","ESTIMATE_TEMP","ESTIMATE_NPP","PERS_WOODY_COVER","PERS_POLLEN_AP","PERS_POLLEN_NAP","PERS_POLLEN_OTHER","SIDNUM","ORDER","FAMILY","GENUS","SPECIES","SUBCLASSORSUPERORDER","SUBORDERORSUPERFAMILY","SUBFAMILY","UNIQUE","TAXON_STATUS","ID_STATUS","ADD_INFO","SOURCE_NAME","LS_MICROWEAR","LS_MESOWEAR","LS_MESOWEAR_SCORE","LS_MW_OR_HIGH","LS_MW_OR_LOW","LS_MW_CS_SHARP","LS_MW_CS_ROUND","LS_MW_CS_BLUNT","SVLENGTH","BODYMASS","SXDIMSZE","SXDIMDIS","TSHM","TCRWNHT","HORIZODONTY","CROWNTYP","CUSP_SHAPE","CUSP_COUNT_BUCCAL","CUSP_COUNT_LINGUAL","LOPH_COUNT_LON","LOPH_COUNT_TRS","FCT_AL","FCT_OL","FCT_SF","FCT_OT","FCT_CM","MICROWEAR","MESOWEAR","MESOWEAR_SCORE","MW_OR_HIGH","MW_OR_LOW","MW_CS_SHARP","MW_CS_ROUND","MW_CS_BLUNT","DIET_1","DIET_2","DIET_3","LOCOMO1","LOCOMO2","LOCOMO3","SPCOMMENT","SP_SYNONYM","SP_SYNONYM_COMMENT","HOMININ_BONES","BIPEDAL_FOOTPRINTS","CUTMARKS","STONE_TOOLS","TECHNOLOGICAL_MODE_1","TECHNOLOGICAL_MODE_2","TECHNOLOGICAL_MODE_3","CULTURAL_STAGE_1","CULTURAL_STAGE_2","CULTURAL_STAGE_3","REGIONAL_CULTURE_1","REGIONAL_CULTURE_2","REGIONAL_CULTURE_3","hyps"
"11",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",25297,"Artiodactyla","Hippopotamidae","Hippopotamus","amphibius","Eutheria","\N","","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","2m-5m","2500000","\N","\N","bun","mes","bra","R2200","R","2","2","0","0","0","1","0","1","0","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","graze","sa","\N","gen_quad","\N","\N","\N",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",2
"12",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",27928,"Artiodactyla","Giraffidae","Sivatherium","maurusium","Eutheria","\N","Sivatheriinae","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","2648827","\N","\N","sel","bra","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",1
"13",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",28340,"Artiodactyla","Bovidae","Numidocapra","crassicornis","Eutheria","\N","","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"14",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",28777,"Artiodactyla","Bovidae","Tragelaphus","gaudryi","Eutheria","\N","Tragelaphini","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","bra","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","Taurotragus gaudryi","\N",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",1
"15",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",28778,"Artiodactyla","Suidae","Kolpochoerus","heseloni","Eutheria","Suoidea","Suinae","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","296977","\N","\N","\N","mes","\N","R2200","R","2","2","0","0","0","0","\N","\N","1","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","te","\N","\N","\N","Kolpochoerus limnetes","Synonymy project",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",2
"16",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",29053,"Artiodactyla","Bovidae","Alcelaphus","indet.","Eutheria","\N","Alcelaphini","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"17",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",29290,"Artiodactyla","Bovidae","Bos","bubaloides","Eutheria","\N","Bovinae","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","Pelorovis bubaloides","Arambourg: 1979:39",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"18",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",29293,"Artiodactyla","Bovidae","Gazella","pomeli","Eutheria","\N","Antilopini","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"19",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",29294,"Artiodactyla","Bovidae","Bos","praeafricanus","Eutheria","\N","Bovinae","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","hyp","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","Pelorovis praeafricanus","Arambourg: 1979:44",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",3
"20",23189,"Ain Hanech","35 25 0 N","04 08 0 E",35.417,4.133,"\N",1.83,"\N","ESR","\N",1.6,"\N","ESR","\N","","Given the ESR: paleomagnetic evidence: and sedimentation rate: the most probable age is 1.77 Ma","Atlas","\N","Algeria","","Se´tif","\N","y","Ain Haneh","2.33","\N","\N","\N","\N","\N","\N","\N",29298,"Artiodactyla","Giraffidae","Giraffa","pomeli","Eutheria","\N","Giraffinae","-","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","\N","\N","\N","\N","sel","bra","\N","L2220","L","2","2","2","0","\N","\N","\N","\N","\N","\N","\N",NA,"\N","\N","\N","\N","\N","p","herbivore","\N","te","\N","\N","\N","\N","\N",0,0,0,1,"1","\N","\N","early_stone_age","\N","\N","Oldowan","\N","\N",1
