ORDER,FAMILY,GENUS,Score
Artiodactyla,Bovidae,Simatherium,hyp
Proboscidea,Gomphotheriidae,Sinomastodon,bra
Artiodactyla,Cervidae,Sinomegaceros,mes
Artiodactyla,Suidae,Sivachoerus,bra
Artiodactyla,Giraffidae,Sivatherium,bra
Artiodactyla,Bovidae,Soergelia,hyp
Proboscidea,Stegodontidae,Stegodon,bra
Perissodactyla,Rhinocerotidae,Stephanorhinus,bra
Artiodactyla,Suidae,Sus,bra
Artiodactyla,Bovidae,Sylvicapra,mes
Artiodactyla,Bovidae,Syncerus,hyp
Perissodactyla,Tapiridae,Tapirus,bra
Artiodactyla,Bovidae,Taurotragus,hyp
Primates,Cercopithecidae,Theropithecus,mes
Primates,Cercopithecidae,Trachypithecus,bra
Artiodactyla,Bovidae,Tragelaphus,bra
